produksi_id,tanggal_produksi,barang_id,jumlah_produksi,biaya_produksi
1,2024-01-01 00:00:00,1,100,5000
2,2024-01-02 00:00:00,2,150,7500
3,2024-01-03 00:00:00,3,200,10000
4,2024-01-04 00:00:00,4,120,6000
5,2024-01-05 00:00:00,5,180,9000
6,2024-01-06 00:00:00,1,100,5000
7,2024-01-07 00:00:00,2,150,7500
8,2024-01-08 00:00:00,3,200,10000
9,2024-01-09 00:00:00,4,120,6000
10,2024-01-10 00:00:00,5,180,9000
11,2024-01-11 00:00:00,1,100,5000
12,2024-01-12 00:00:00,2,150,7500
13,2024-01-13 00:00:00,3,200,10000
14,2024-01-14 00:00:00,4,120,6000
15,2024-01-15 00:00:00,5,180,9000
16,2024-01-16 00:00:00,1,100,5000
17,2024-01-17 00:00:00,2,150,7500
18,2024-01-18 00:00:00,3,200,10000
19,2024-01-19 00:00:00,4,120,6000
20,2024-01-20 00:00:00,5,180,9000
21,2024-01-21 00:00:00,1,100,5000
22,2024-01-22 00:00:00,2,150,7500
23,2024-01-23 00:00:00,3,200,10000
24,2024-01-24 00:00:00,4,120,6000
25,2024-01-25 00:00:00,5,180,9000
